	(1)	(2)	(3)	(4)	(5)	(6)	(7)
VARIABLES	ln_wage	ln_wage	ln_wage	ln_wage	ln_wage	ln_wage	ln_wage
							
afqt_std		0.206***	0.206***	0.189***	0.126***	0.190***	0.126***
		[0.007]	[0.007]	[0.007]	[0.008]	[0.007]	[0.008]
soc_nlsy_std	0.107***	0.055***	0.049***	0.043***	0.029***	0.044***	0.029***
	[0.006]	[0.006]	[0.006]	[0.006]	[0.006]	[0.006]	[0.006]
afqt_socnlsy			0.019***	0.019***	0.011*	0.017***	0.010*
			[0.006]	[0.006]	[0.006]	[0.006]	[0.006]
noncog_std				0.048***	0.040***	0.046***	0.040***
				[0.006]	[0.006]	[0.006]	[0.006]
_Ieduc_1					-0.087		-0.086
					[0.146]		[0.146]
o._Ieduc_2					-		-
							
_Ieduc_3					0.026		0.026
					[0.169]		[0.169]
_Ieduc_4					0.219		0.219
					[0.194]		[0.195]
_Ieduc_5					0.264		0.263
					[0.193]		[0.194]
_Ieduc_6					0.201		0.202
					[0.162]		[0.163]
_Ieduc_7					0.062		0.063
					[0.159]		[0.159]
_Ieduc_8					0.230		0.231
					[0.150]		[0.151]
_Ieduc_9					0.157		0.158
					[0.148]		[0.149]
_Ieduc_10					0.164		0.165
					[0.149]		[0.149]
_Ieduc_11					0.150		0.151
					[0.148]		[0.149]
_Ieduc_12					0.238		0.239
					[0.146]		[0.146]
_Ieduc_13					0.308**		0.310**
					[0.147]		[0.148]
_Ieduc_14					0.333**		0.335**
					[0.147]		[0.147]
_Ieduc_15					0.311**		0.313**
					[0.148]		[0.149]
_Ieduc_16					0.486***		0.487***
					[0.147]		[0.148]
_Ieduc_17					0.422***		0.423***
					[0.149]		[0.150]
_Ieduc_18					0.514***		0.515***
					[0.149]		[0.150]
_Ieduc_19					0.537***		0.538***
					[0.156]		[0.156]
_Ieduc_20					0.477***		0.478***
					[0.156]		[0.157]
female	-0.330***	-0.337***	-0.335***	-0.331***	-0.341***	-0.331***	-0.341***
