	(1)	(2)	(3)	(4)
VARIABLES	routine	routine	socskills	socskills
				
afqt_std	-0.055*	0.161***	0.345***	-0.044**
	[0.030]	[0.032]	[0.028]	[0.019]
soc_nlsy_std	-0.188***	-0.149***	0.208***	0.119***
	[0.022]	[0.024]	[0.020]	[0.014]
afqt_socnlsy	-0.058***	-0.054**	0.014	0.013
	[0.021]	[0.023]	[0.019]	[0.014]
_Ieduc_1	-0.065	0.725	0.509	-0.902
	[1.567]	[2.354]	[1.071]	[1.137]
o._Ieduc_2	-	-	-	-
				
_Ieduc_3	-0.032	-0.297	0.648	0.304
	[1.607]	[2.470]	[1.121]	[1.206]
_Ieduc_4	-0.947	-0.811	1.305	0.446
	[1.617]	[2.427]	[1.313]	[1.209]
_Ieduc_5	0.674	2.108	-0.189	-1.069
	[1.588]	[2.386]	[1.086]	[1.170]
_Ieduc_6	-0.364	-0.164	0.821	0.125
	[1.577]	[2.371]	[1.085]	[1.148]
_Ieduc_7	-0.373	-0.642	0.556	0.366
	[1.574]	[2.373]	[1.083]	[1.145]
_Ieduc_8	-0.886	-0.830	1.033	0.309
	[1.576]	[2.363]	[1.083]	[1.143]
_Ieduc_9	-0.534	-0.524	0.686	0.448
	[1.568]	[2.358]	[1.071]	[1.139]
_Ieduc_10	-0.665	-0.746	0.692	0.404
	[1.569]	[2.358]	[1.077]	[1.140]
_Ieduc_11	-0.586	-0.640	0.885	0.330
	[1.569]	[2.358]	[1.073]	[1.140]
_Ieduc_12	-0.648	-0.518	0.994	0.350
	[1.565]	[2.354]	[1.067]	[1.137]
_Ieduc_13	-0.927	-0.715	1.356	0.436
	[1.566]	[2.356]	[1.069]	[1.138]
_Ieduc_14	-0.762	-0.420	1.498	0.421
	[1.566]	[2.356]	[1.068]	[1.138]
_Ieduc_15	-0.884	-0.528	1.642	0.409
	[1.568]	[2.357]	[1.071]	[1.138]
_Ieduc_16	-1.428	-0.736	2.408**	0.438
	[1.567]	[2.356]	[1.069]	[1.138]
_Ieduc_17	-1.372	-0.757	2.318**	0.361
	[1.572]	[2.359]	[1.073]	[1.139]
_Ieduc_18	-1.658	-0.768	2.813***	0.551
	[1.569]	[2.357]	[1.070]	[1.139]
_Ieduc_19	-1.576	-0.394	2.658**	0.288
	[1.576]	[2.361]	[1.075]	[1.141]
_Ieduc_20	-1.604	-0.659	2.470**	0.120
	[1.571]	[2.359]	[1.072]	[1.140]
female	0.512***	0.122**	-0.159***	0.062**
	[0.054]	[0.054]	[0.047]	[0.032]
hisp_male	0.083	0.191***	-0.069	-0.074
	[0.068]	[0.073]	[0.068]	[0.049]
hisp_female	0.010	0.211**	0.207***	-0.059
	[0.079]	[0.084]	[0.065]	[0.047]
black_male	0.363***	0.340***	-0.445***	-0.060
	[0.062]	[0.068]	[0.060]	[0.041]
black_female	0.067	0.166**	-0.122**	0.008
	[0.068]	[0.074]	[0.055]	[0.041]
o._Iage_14	-	-	-	-
				
o._Iage_15	-	-	-	-
				
o._Iage_16	-	-	-	-
				
o._Iage_17	-	-	-	-
				
o._Iage_18	-	-	-	-
				
o._Iage_19	-	-	-	-
				
o._Iage_20	-	-	-	-
				
o._Iage_21	-	-	-	-
				
o._Iage_22	-	-	-	-
				
_Iage_23	0.948**	0.605	-1.162***	-0.595**
	[0.417]	[0.406]	[0.409]	[0.256]
_Iage_24	0.840**	0.625	-0.984**	-0.582**
	[0.414]	[0.400]	[0.405]	[0.253]
_Iage_25	0.776*	0.611	-0.935**	-0.595**
	[0.412]	[0.396]	[0.403]	[0.251]
_Iage_26	0.767*	0.611	-0.915**	-0.593**
	[0.409]	[0.392]	[0.400]	[0.249]
_Iage_27	0.701*	0.612	-0.808**	-0.573**
	[0.405]	[0.387]	[0.397]	[0.246]
_Iage_28	0.647	0.593	-0.757*	-0.567**
	[0.401]	[0.382]	[0.392]	[0.243]
_Iage_29	0.543	0.502	-0.680*	-0.508**
	[0.399]	[0.377]	[0.390]	[0.242]
_Iage_30	0.551	0.505	-0.662*	-0.526**
	[0.394]	[0.372]	[0.386]	[0.239]
_Iage_31	0.544	0.502	-0.637*	-0.510**
	[0.388]	[0.367]	[0.382]	[0.237]
_Iage_32	0.520	0.479	-0.574	-0.452*
	[0.383]	[0.361]	[0.378]	[0.234]
_Iage_33	0.518	0.497	-0.564	-0.495**
	[0.378]	[0.355]	[0.370]	[0.230]
_Iage_34	0.536	0.521	-0.512	-0.442*
	[0.373]	[0.350]	[0.364]	[0.227]
_Iage_35	0.472	0.428	-0.511	-0.414*
	[0.365]	[0.342]	[0.357]	[0.224]
_Iage_36	0.436	0.447	-0.442	-0.380*
	[0.358]	[0.336]	[0.352]	[0.222]
_Iage_37	0.454	0.386	-0.478	-0.402*
	[0.351]	[0.328]	[0.344]	[0.217]
_Iage_38	0.387	0.352	-0.389	-0.360*
	[0.351]	[0.328]	[0.345]	[0.216]
_Iage_39	0.471	0.361	-0.437	-0.393*
	[0.339]	[0.317]	[0.333]	[0.211]
_Iage_40	0.358	0.299	-0.326	-0.298
	[0.337]	[0.315]	[0.333]	[0.209]
_Iage_41	0.415	0.238	-0.335	-0.284
	[0.322]	[0.303]	[0.319]	[0.203]
_Iage_42	0.313	0.215	-0.350	-0.312
	[0.323]	[0.303]	[0.321]	[0.203]
_Iage_43	0.431	0.252	-0.302	-0.241
	[0.311]	[0.291]	[0.308]	[0.197]
_Iage_44	0.230	0.152	-0.234	-0.232
	[0.309]	[0.290]	[0.309]	[0.196]
_Iage_45	0.341	0.220	-0.197	-0.222
	[0.294]	[0.275]	[0.293]	[0.187]
_Iage_46	0.231	0.130	-0.203	-0.178
	[0.296]	[0.277]	[0.296]	[0.188]
_Iage_47	0.283	0.097	-0.148	-0.129
	[0.280]	[0.263]	[0.280]	[0.179]
_Iage_48	0.237	0.098	-0.142	-0.081
	[0.283]	[0.265]	[0.283]	[0.181]
_Iage_49	0.308	0.113	-0.200	-0.121
	[0.275]	[0.258]	[0.273]	[0.175]
_Iage_50	0.211	0.032	-0.107	-0.058
	[0.279]	[0.262]	[0.280]	[0.179]
_Iage_51	0.248	0.030	-0.106	-0.006
	[0.266]	[0.254]	[0.263]	[0.170]
_Iage_52	0.216	0.041	0.001	0.033
	[0.280]	[0.263]	[0.278]	[0.179]
_Iage_53	0.421*	0.232	-0.142	-0.083
	[0.251]	[0.239]	[0.248]	[0.162]
_Iage_54	0.102	-0.056	0.045	0.140
	[0.290]	[0.274]	[0.286]	[0.184]
o._Iage_55	-	-	-	-
				
_Iyear_1980	0.061	-0.267	-0.353	-0.006
	[0.304]	[0.331]	[0.258]	[0.204]
_Iyear_1981	0.010	-0.095	-0.337	-0.044
	[0.243]	[0.257]	[0.221]	[0.156]
_Iyear_1982	0.218	-0.150	-0.395*	0.025
	[0.231]	[0.244]	[0.208]	[0.145]
_Iyear_1983	0.210	-0.201	-0.445**	0.023
	[0.226]	[0.235]	[0.200]	[0.141]
_Iyear_1984	0.023	-0.250	-0.206	0.085
	[0.221]	[0.227]	[0.198]	[0.136]
_Iyear_1985	0.098	-0.234	-0.232	0.148
	[0.215]	[0.222]	[0.194]	[0.133]
_Iyear_1986	0.125	-0.175	-0.327*	0.081
	[0.211]	[0.215]	[0.189]	[0.130]
_Iyear_1987	-0.093	-0.340	-0.005	0.209*
	[0.206]	[0.209]	[0.184]	[0.126]
_Iyear_1988	-0.032	-0.233	-0.103	0.131
	[0.201]	[0.202]	[0.179]	[0.122]
_Iyear_1989	-0.100	-0.313	-0.024	0.155
	[0.196]	[0.196]	[0.174]	[0.118]
_Iyear_1990	-0.048	-0.248	0.001	0.157
	[0.189]	[0.188]	[0.169]	[0.114]
_Iyear_1991	-0.082	-0.267	0.032	0.182*
	[0.183]	[0.181]	[0.164]	[0.110]
_Iyear_1992	-0.081	-0.217	-0.063	0.102
	[0.177]	[0.173]	[0.158]	[0.105]
_Iyear_1993	-0.119	-0.329**	-0.053	0.151
	[0.169]	[0.165]	[0.151]	[0.100]
_Iyear_1994	-0.141	-0.319**	-0.019	0.142
	[0.161]	[0.156]	[0.145]	[0.096]
_Iyear_1996	-0.208	-0.366***	0.081	0.169**
	[0.145]	[0.138]	[0.127]	[0.084]
o._Iyear_1997	-	-	-	-
				
_Iyear_1998	-0.143	-0.274**	0.170	0.178**
	[0.125]	[0.118]	[0.110]	[0.072]
o._Iyear_1999	-	-	-	-
				
_Iyear_2000	-0.231**	-0.250***	0.185**	0.117**
	[0.099]	[0.092]	[0.087]	[0.058]
o._Iyear_2001	-	-	-	-
				
_Iyear_2002	-0.092	-0.105	0.182***	0.123***
	[0.075]	[0.070]	[0.066]	[0.043]
o._Iyear_2003	-	-	-	-
				
_Iyear_2004	-0.104**	-0.083*	0.136***	0.061**
	[0.049]	[0.046]	[0.042]	[0.028]
o._Iyear_2005	-	-	-	-
				
o._Iyear_2006	-	-	-	-
				
o._Iyear_2007	-	-	-	-
				
_Iyear_2008	-0.044	-0.015	0.050	-0.028
	[0.051]	[0.047]	[0.043]	[0.028]
o._Iyear_2009	-	-	-	-
				
_Iyear_2010	0.002	0.028	-0.048	-0.100**
	[0.078]	[0.072]	[0.068]	[0.045]
o._Iyear_2011	-	-	-	-
				
_Iyear_2012	0.020	0.070	-0.070	-0.161***
	[0.107]	[0.099]	[0.094]	[0.061]
o._Iyear_2013	-	-	-	-
				
_Idiv_2	0.097	0.004	-0.128**	-0.071*
	[0.063]	[0.066]	[0.056]	[0.038]
_Idiv_3	0.073	0.084	0.024	-0.115***
	[0.060]	[0.064]	[0.052]	[0.036]
_Idiv_4	0.032	-0.183**	-0.070	0.004
	[0.069]	[0.072]	[0.060]	[0.042]
_Imetro_1	-0.082	0.018	0.168***	0.017
	[0.050]	[0.054]	[0.047]	[0.033]
_Imetro_2	-0.062	-0.031	0.182***	0.074**
	[0.056]	[0.060]	[0.051]	[0.036]
_Imetro_3	-0.029	-0.028	0.109*	0.088**
	[0.065]	[0.069]	[0.058]	[0.041]
_Imetro_4	-0.174	-0.051	0.209	0.132
	[0.176]	[0.168]	[0.147]	[0.098]
o._Imetro_5	-	-	-	-
				
_Iurban_1	-0.018	-0.125***	0.048	0.073***
