	(1)	(2)	(3)
VARIABLES	ln_wage	ln_wage	ln_wage
			
routine	0.0136***		0.0212***
	[0.0012]		[0.0014]
afqt_routine	-0.0034***		0.0005
	[0.0013]		[0.0015]
socnlsy_routine	-0.0025**		-0.0008
	[0.0013]		[0.0015]
afqt_socnlsy_routine	-0.0008		-0.0011
	[0.0012]		[0.0014]
o._Iage_14	-	-	-
			
o._Iage_15	-	-	-
			
o._Iage_16	-	-	-
			
o._Iage_17	-	-	-
			
o._Iage_18	-	-	-
			
o._Iage_19	-	-	-
			
o._Iage_20	-	-	-
			
o._Iage_21	-	-	-
			
o._Iage_22	-	-	-
			
_Iage_23	-0.9925***	-0.9814***	-0.9865***
	[0.1766]	[0.1763]	[0.1756]
_Iage_24	-0.9350***	-0.9253***	-0.9311***
	[0.1708]	[0.1706]	[0.1699]
_Iage_25	-0.8781***	-0.8684***	-0.8736***
	[0.1652]	[0.1649]	[0.1642]
_Iage_26	-0.8299***	-0.8200***	-0.8252***
	[0.1597]	[0.1595]	[0.1588]
_Iage_27	-0.7860***	-0.7775***	-0.7826***
	[0.1542]	[0.1539]	[0.1533]
_Iage_28	-0.7377***	-0.7299***	-0.7353***
	[0.1488]	[0.1486]	[0.1480]
_Iage_29	-0.6955***	-0.6885***	-0.6925***
	[0.1435]	[0.1433]	[0.1427]
_Iage_30	-0.6500***	-0.6431***	-0.6477***
	[0.1383]	[0.1381]	[0.1375]
_Iage_31	-0.6242***	-0.6170***	-0.6217***
	[0.1329]	[0.1328]	[0.1322]
_Iage_32	-0.5934***	-0.5867***	-0.5911***
	[0.1274]	[0.1272]	[0.1267]
_Iage_33	-0.5587***	-0.5527***	-0.5573***
	[0.1229]	[0.1228]	[0.1222]
_Iage_34	-0.5250***	-0.5194***	-0.5243***
	[0.1180]	[0.1179]	[0.1174]
_Iage_35	-0.4800***	-0.4737***	-0.4771***
	[0.1136]	[0.1135]	[0.1130]
_Iage_36	-0.4456***	-0.4406***	-0.4446***
	[0.1089]	[0.1087]	[0.1083]
_Iage_37	-0.4194***	-0.4117***	-0.4157***
	[0.1035]	[0.1033]	[0.1029]
_Iage_38	-0.3866***	-0.3811***	-0.3844***
	[0.0998]	[0.0996]	[0.0992]
_Iage_39	-0.3803***	-0.3731***	-0.3772***
	[0.0947]	[0.0945]	[0.0941]
_Iage_40	-0.3285***	-0.3234***	-0.3268***
	[0.0918]	[0.0916]	[0.0913]
_Iage_41	-0.3183***	-0.3116***	-0.3158***
	[0.0866]	[0.0864]	[0.0860]
_Iage_42	-0.2781***	-0.2721***	-0.2738***
	[0.0840]	[0.0838]	[0.0834]
_Iage_43	-0.2949***	-0.2872***	-0.2915***
	[0.0782]	[0.0780]	[0.0777]
_Iage_44	-0.2246***	-0.2205***	-0.2222***
	[0.0764]	[0.0762]	[0.0758]
_Iage_45	-0.2510***	-0.2442***	-0.2482***
	[0.0688]	[0.0686]	[0.0683]
_Iage_46	-0.1992***	-0.1940***	-0.1959***
	[0.0672]	[0.0669]	[0.0666]
_Iage_47	-0.1928***	-0.1863***	-0.1895***
	[0.0644]	[0.0642]	[0.0639]
_Iage_48	-0.1813***	-0.1761***	-0.1786***
	[0.0636]	[0.0634]	[0.0630]
_Iage_49	-0.1802***	-0.1738***	-0.1761***
	[0.0603]	[0.0601]	[0.0598]
_Iage_50	-0.1396**	-0.1339**	-0.1362**
	[0.0601]	[0.0597]	[0.0594]
_Iage_51	-0.1350**	-0.1292**	-0.1316**
	[0.0565]	[0.0562]	[0.0560]
_Iage_52	-0.1224**	-0.1167**	-0.1207**
	[0.0599]	[0.0595]	[0.0592]
_Iage_53	-0.0669	-0.0578	-0.0616
	[0.0575]	[0.0575]	[0.0571]
_Iage_54	-0.0898	-0.0846	-0.0868
	[0.0642]	[0.0636]	[0.0633]
o._Iage_55	-	-	-
			
_Iyear_1980	-0.4397**	-0.4263**	-0.4188**
	[0.1792]	[0.1784]	[0.1778]
_Iyear_1981	-0.3989**	-0.3837**	-0.3770**
	[0.1705]	[0.1700]	[0.1693]
_Iyear_1982	-0.3954**	-0.3784**	-0.3745**
	[0.1636]	[0.1631]	[0.1625]
_Iyear_1983	-0.3922**	-0.3748**	-0.3702**
