	(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	emp	emp	emp	ln_wage	ln_wage	ln_wage
						
afqt_std	0.068***	0.042***	0.040***	0.203***	0.129***	0.116***
	[0.003]	[0.003]	[0.003]	[0.005]	[0.006]	[0.006]
afqt_sample	0.008*	0.005	0.009*	-0.052***	-0.061***	-0.045***
	[0.004]	[0.004]	[0.005]	[0.008]	[0.008]	[0.008]
soc_nlsy2_std	0.007***	0.005**	0.004*	0.020***	0.015***	0.011**
	[0.002]	[0.002]	[0.002]	[0.004]	[0.004]	[0.004]
soc_nlsy2_sample	0.023***	0.021***	0.019***	0.017**	0.019**	0.016*
	[0.004]	[0.004]	[0.004]	[0.008]	[0.008]	[0.008]
afqt_socnlsy2	-0.007***	-0.006**	-0.007**	0.006	0.003	0.002
	[0.003]	[0.003]	[0.003]	[0.004]	[0.004]	[0.004]
afqt_socnlsy2_sample	-0.006	-0.006	-0.006	-0.004	-0.004	-0.002
	[0.004]	[0.004]	[0.004]	[0.008]	[0.008]	[0.008]
sample	-0.011	-0.003	-0.055***	0.741***	0.758***	0.098***
	[0.023]	[0.021]	[0.020]	[0.047]	[0.043]	[0.034]
_Ieduc_1		0.255***	0.252***		0.089	0.075
		[0.042]	[0.039]		[0.218]	[0.206]
o._Ieduc_2		-	-		-	-
						
_Ieduc_3		-0.331***	-0.328***		-0.019	-0.033
		[0.123]	[0.120]		[0.291]	[0.280]
_Ieduc_4		-0.030	-0.032		0.153	0.141
		[0.070]	[0.069]		[0.261]	[0.249]
_Ieduc_5		-0.144	-0.151		0.111	0.108
		[0.112]	[0.115]		[0.255]	[0.244]
_Ieduc_6		-0.116*	-0.117*		0.186	0.170
		[0.065]	[0.063]		[0.229]	[0.217]
_Ieduc_7		-0.219***	-0.213***		0.099	0.083
		[0.057]	[0.055]		[0.224]	[0.213]
_Ieduc_8		-0.141***	-0.140***		0.145	0.133
		[0.046]	[0.044]		[0.219]	[0.208]
_Ieduc_9		-0.146***	-0.149***		0.120	0.103
		[0.044]	[0.042]		[0.219]	[0.207]
_Ieduc_10		-0.145***	-0.146***		0.126	0.110
		[0.044]	[0.042]		[0.219]	[0.207]
_Ieduc_11		-0.113**	-0.116***		0.167	0.147
		[0.044]	[0.042]		[0.219]	[0.207]
_Ieduc_12		-0.037	-0.040		0.224	0.203
		[0.042]	[0.040]		[0.218]	[0.207]
_Ieduc_13		-0.013	-0.016		0.263	0.240
		[0.043]	[0.040]		[0.219]	[0.207]
_Ieduc_14		-0.005	-0.010		0.307	0.279
		[0.043]	[0.040]		[0.219]	[0.207]
_Ieduc_15		-0.010	-0.014		0.308	0.283
		[0.043]	[0.041]		[0.219]	[0.207]
_Ieduc_16		0.016	0.010		0.492**	0.461**
		[0.043]	[0.040]		[0.218]	[0.207]
_Ieduc_17		0.020	0.014		0.491**	0.461**
		[0.043]	[0.041]		[0.219]	[0.208]
_Ieduc_18		0.025	0.019		0.557**	0.524**
		[0.043]	[0.041]		[0.221]	[0.210]
_Ieduc_19		0.007	-0.000		0.595***	0.563***
		[0.044]	[0.041]		[0.220]	[0.209]
_Ieduc_20		-0.041	-0.050		0.516**	0.478**
		[0.044]	[0.041]		[0.220]	[0.209]
female	-0.115***	-0.120***	-0.120***	-0.254***	-0.272***	-0.270***
