	(1)	(2)	(3)	(4)
VARIABLES	ln_wage	ln_wage	ln_wage	ln_wage
				
socskills	0.0004	-0.0096***	-0.0095***	-0.0096***
	[0.0013]	[0.0015]	[0.0015]	[0.0015]
socskills_sample	0.0210***	0.0253***	0.0217***	0.0225***
	[0.0036]	[0.0041]	[0.0040]	[0.0040]
math		0.0175***	0.0177***	0.0177***
		[0.0015]	[0.0015]	[0.0015]
math_sample		-0.0082**	-0.0085**	-0.0099***
		[0.0035]	[0.0034]	[0.0034]
afqt_socskills			0.0069***	0.0074***
			[0.0013]	[0.0016]
afqt_socskills_sample			0.0114***	0.0047
			[0.0036]	[0.0044]
socnlsy2_socskills			0.0008	0.0011
			[0.0013]	[0.0016]
socnlsy2_socskills_sample			0.0040	0.0069*
			[0.0032]	[0.0038]
afqt_math				-0.0008
				[0.0016]
afqt_math_sample				0.0112***
				[0.0039]
socnlsy2_math				-0.0005
				[0.0015]
socnlsy2_math_sample				-0.0048
				[0.0036]
26.age	0.0558***	0.0551***	0.0549***	0.0550***
	[0.0081]	[0.0081]	[0.0081]	[0.0081]
27.age	0.1030***	0.1023***	0.1022***	0.1021***
	[0.0134]	[0.0134]	[0.0134]	[0.0134]
28.age	0.1444***	0.1428***	0.1423***	0.1420***
	[0.0189]	[0.0189]	[0.0188]	[0.0188]
29.age	0.1953***	0.1937***	0.1935***	0.1931***
	[0.0238]	[0.0238]	[0.0238]	[0.0238]
30.age	0.2478***	0.2460***	0.2454***	0.2449***
	[0.0287]	[0.0287]	[0.0286]	[0.0286]
31.age	0.2800***	0.2782***	0.2780***	0.2775***
	[0.0340]	[0.0340]	[0.0339]	[0.0339]
32.age	0.3293***	0.3277***	0.3275***	0.3266***
	[0.0389]	[0.0389]	[0.0388]	[0.0388]
33.age	0.3624***	0.3604***	0.3599***	0.3592***
	[0.0445]	[0.0445]	[0.0444]	[0.0444]
1983.year	-0.0045	0.0000	0.0004	0.0005
	[0.0399]	[0.0400]	[0.0400]	[0.0400]
1984.year	0.0129	0.0162	0.0161	0.0160
	[0.0415]	[0.0416]	[0.0415]	[0.0415]
1985.year	0.0448	0.0480	0.0476	0.0477
	[0.0435]	[0.0436]	[0.0435]	[0.0435]
1986.year	0.0646	0.0678	0.0675	0.0678
	[0.0463]	[0.0463]	[0.0462]	[0.0462]
1987.year	0.1120**	0.1152**	0.1153**	0.1155**
	[0.0495]	[0.0495]	[0.0494]	[0.0494]
1988.year	0.1457***	0.1476***	0.1475***	0.1479***
	[0.0530]	[0.0531]	[0.0530]	[0.0530]
1989.year	0.1451**	0.1470***	0.1465***	0.1471***
	[0.0567]	[0.0567]	[0.0566]	[0.0566]
1990.year	0.1618***	0.1643***	0.1638***	0.1645***
	[0.0608]	[0.0608]	[0.0607]	[0.0607]
1991.year	0.1647**	0.1679***	0.1678***	0.1685***
	[0.0649]	[0.0650]	[0.0648]	[0.0648]
1992.year	0.1583**	0.1614**	0.1614**	0.1623**
	[0.0694]	[0.0694]	[0.0693]	[0.0693]
1993.year	0.1642**	0.1681**	0.1679**	0.1689**
	[0.0738]	[0.0739]	[0.0737]	[0.0737]
1994.year	0.1953**	0.1980**	0.1976**	0.1987**
	[0.0784]	[0.0784]	[0.0783]	[0.0783]
1996.year	0.2130**	0.2170**	0.2164**	0.2177**
	[0.0879]	[0.0880]	[0.0878]	[0.0878]
1998.year	0.2231**	0.2285**	0.2278**	0.2293**
	[0.0993]	[0.0993]	[0.0991]	[0.0991]
2005.year	0.0077	0.0059	0.0044	0.0036
	[0.0476]	[0.0476]	[0.0474]	[0.0474]
2006.year	-0.0009	-0.0028	-0.0030	-0.0031
	[0.0366]	[0.0365]	[0.0364]	[0.0364]
2007.year	0.0283	0.0260	0.0244	0.0241
	[0.0299]	[0.0299]	[0.0298]	[0.0298]
2008.year	0.0299	0.0286	0.0281	0.0276
	[0.0239]	[0.0239]	[0.0239]	[0.0238]
2009.year	-0.0060	-0.0068	-0.0069	-0.0071
	[0.0187]	[0.0187]	[0.0186]	[0.0186]
2010.year	-0.0079	-0.0081	-0.0086	-0.0086
	[0.0128]	[0.0128]	[0.0128]	[0.0128]
2011o.year	-	-	-	-
				
2013o.year	-	-	-	-
				
2.div	-0.0606*	-0.0599*	-0.0605*	-0.0603*
	[0.0343]	[0.0340]	[0.0339]	[0.0338]
3.div	-0.0482*	-0.0485*	-0.0488*	-0.0482*
	[0.0272]	[0.0270]	[0.0270]	[0.0270]
4.div	0.0315	0.0302	0.0315	0.0318
	[0.0335]	[0.0333]	[0.0332]	[0.0332]
1.metro	0.0500***	0.0486***	0.0490***	0.0493***
	[0.0140]	[0.0139]	[0.0139]	[0.0139]
2.metro	0.0348**	0.0349**	0.0355**	0.0359**
	[0.0146]	[0.0145]	[0.0145]	[0.0145]
3.metro	0.0528***	0.0526***	0.0533***	0.0537***
	[0.0165]	[0.0164]	[0.0164]	[0.0164]
4.metro	0.0808**	0.0798**	0.0819**	0.0823**
	[0.0381]	[0.0380]	[0.0380]	[0.0379]
1.urban	0.0186*	0.0176	0.0174	0.0168
	[0.0108]	[0.0108]	[0.0108]	[0.0108]
2.urban	-0.0254	-0.0265	-0.0253	-0.0255
	[0.0365]	[0.0365]	[0.0364]	[0.0364]
				
Observations	77,845	77,845	77,845	77,845
R-squared	0.0994	0.1023	0.1037	0.1040
Number of uniqueID	14,998	14,998	14,998	14,998
Robust standard errors in brackets				
*** p<0.01, ** p<0.05, * p<0.10				
