	(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	ln_wage	ln_wage	ln_wage	ln_wage	ln_wage	ln_wage
						
afqt_std	0.167***	0.213***	0.207***	0.185***	0.131***	0.169***
	[0.009]	[0.010]	[0.009]	[0.008]	[0.010]	[0.012]
soc_nlsy_std	0.055***	0.036***	0.017*	0.044***	0.027***	0.033***
	[0.008]	[0.008]	[0.009]	[0.008]	[0.009]	[0.009]
afqt_socnlsy	0.032***	0.004	-0.010	0.023***	-0.002	0.021**
	[0.008]	[0.008]	[0.009]	[0.008]	[0.008]	[0.010]
noncog_std	0.050***	0.047***	0.056***	0.046***	0.036***	0.051***
	[0.009]	[0.009]	[0.008]	[0.008]	[0.008]	[0.009]
o.female	-	-				
						
hisp_male	-0.013				-0.005	-0.054
	[0.021]				[0.023]	[0.035]
o.hisp_female	-		-	-		
						
black_male	-0.124***		-0.079***		-0.152***	-0.108***
	[0.019]		[0.021]		[0.021]	[0.029]
o.black_female	-			-		
						
o._Iage_14	-	-	-	-	-	-
						
o._Iage_15	-	-	-	-	-	-
						
o._Iage_16	-	-	-	-	-	-
						
o._Iage_17	-	-	-	-	-	-
						
o._Iage_18	-	-	-	-	-	-
						
o._Iage_19	-	-	-	-	-	-
						
o._Iage_20	-	-	-	-	-	-
						
o._Iage_21	-	-	-	-	-	-
						
o._Iage_22	-	-	-	-	-	-
						
_Iage_23	-0.353**	-0.041	-0.052	-0.101	-0.347**	-0.118
	[0.155]	[0.156]	[0.209]	[0.113]	[0.160]	[0.140]
_Iage_24	-0.303**	-0.015	-0.018	-0.062	-0.308*	-0.080
	[0.153]	[0.155]	[0.209]	[0.112]	[0.159]	[0.139]
_Iage_25	-0.268*	0.019	0.003	-0.025	-0.272*	-0.047
	[0.152]	[0.154]	[0.209]	[0.111]	[0.158]	[0.138]
_Iage_26	-0.218	0.025	0.063	-0.003	-0.241	-0.021
	[0.150]	[0.152]	[0.208]	[0.109]	[0.157]	[0.135]
_Iage_27	-0.197	0.044	0.085	0.017	-0.231	0.011
	[0.149]	[0.151]	[0.207]	[0.108]	[0.155]	[0.134]
_Iage_28	-0.173	0.059	0.094	0.040	-0.209	0.027
	[0.147]	[0.149]	[0.206]	[0.106]	[0.154]	[0.132]
_Iage_29	-0.158	0.077	0.105	0.057	-0.197	0.046
	[0.146]	[0.148]	[0.205]	[0.105]	[0.152]	[0.131]
_Iage_30	-0.133	0.083	0.120	0.072	-0.180	0.061
	[0.144]	[0.146]	[0.205]	[0.103]	[0.152]	[0.129]
_Iage_31	-0.124	0.094	0.147	0.079	-0.181	0.080
	[0.142]	[0.144]	[0.204]	[0.101]	[0.150]	[0.126]
_Iage_32	-0.111	0.064	0.152	0.068	-0.192	0.079
	[0.141]	[0.143]	[0.203]	[0.100]	[0.148]	[0.125]
_Iage_33	-0.091	0.066	0.166	0.078	-0.172	0.079
	[0.138]	[0.140]	[0.202]	[0.097]	[0.146]	[0.121]
_Iage_34	-0.087	0.067	0.187	0.077	-0.175	0.087
	[0.136]	[0.138]	[0.202]	[0.095]	[0.145]	[0.119]
_Iage_35	-0.051	0.091	0.209	0.109	-0.155	0.126
	[0.136]	[0.136]	[0.200]	[0.092]	[0.142]	[0.116]
_Iage_36	-0.038	0.086	0.196	0.118	-0.163	0.144
	[0.132]	[0.135]	[0.200]	[0.090]	[0.141]	[0.113]
_Iage_37	-0.021	0.062	0.250	0.101	-0.155	0.129
	[0.130]	[0.132]	[0.198]	[0.088]	[0.139]	[0.111]
_Iage_38	0.003	0.063	0.224	0.125	-0.143	0.143
	[0.129]	[0.131]	[0.198]	[0.086]	[0.139]	[0.107]
_Iage_39	-0.021	0.054	0.233	0.101	-0.168	0.137
	[0.126]	[0.128]	[0.195]	[0.084]	[0.135]	[0.106]
_Iage_40	0.018	0.063	0.227	0.133	-0.155	0.169*
	[0.125]	[0.128]	[0.196]	[0.081]	[0.135]	[0.102]
_Iage_41	0.006	0.045	0.248	0.107	-0.157	0.135
